95,60,8,2024-09-14,Homepage,View,182
96,22,9,2024-07-28,ProductPage,View,212
97,92,19,2025-05-26,homepage,View,203
98,95,8,2025-05-25,Homepage,Click,68
99,58,16,2024-07-06,Checkout,Purchase,87
100,92,10,2024-04-06,ProductPage,View,237
101,24,12,2024-04-14,Homepage,Click,37
102,33,16,2024-04-23,Homepage,View,165
103,7,11,2025-12-06,Checkout,Drop-off,NULL
104,51,18,2023-05-03,Homepage,Click,156
105,68,2,2023-11-19,Homepage,View,80
106,90,11,2024-10-03,productpage,View,96
107,76,19,2023-03-15,ProductPage,View,215
108,14,5,2023-03-06,ProductPage,View,245
109,65,7,2025-08-14,Checkout,Drop-off,NULL
110,20,18,2023-02-07,ProductPage,View,232
111,72,12,2023-06-11,homepage,View,264
112,30,12,2025-04-16,ProductPage,View,203
113,79,18,2025-12-15,Checkout,Drop-off,NULL
114,92,10,2023-06-26,ProductPage,View,38
115,38,14,2024-01-07,Homepage,View,297
116,27,1,2024-04-29,ProductPage,View,297
117,46,5,2025-12-14,ProductPage,View,103
118,26,14,2025-04-25,ProductPage,View,71
119,93,20,2025-03-13,Homepage,Click,172
120,37,17,2024-02-29,Checkout,Purchase,180
121,86,5,2025-10-17,homepage,Click,33
122,96,19,2025-10-22,ProductPage,Click,201
123,59,15,2024-04-10,Homepage,View,93
124,10,8,2024-07-27,ProductPage,View,262
125,67,19,2025-06-07,Checkout,Drop-off,NULL
126,39,4,2025-01-14,Homepage,Click,142
127,5,4,2023-12-11,Homepage,View,287
128,34,8,2023-07-03,Homepage,Click,13
129,91,20,2025-07-05,Homepage,Click,283
130,41,13,2024-09-07,Homepage,Click,73
131,98,13,2025-01-09,Homepage,View,15
132,68,14,2023-06-17,productpage,View,56
133,46,20,2024-06-20,Homepage,View,74
134,40,9,2023-12-14,Homepage,Click,34
135,52,20,2025-05-03,ProductPage,Click,168
136,77,2,2024-05-29,Homepage,View,129
137,40,6,2023-02-07,ProductPage,View,85
138,26,18,2025-05-11,ProductPage,View,172
139,24,5,2025-11-13,Homepage,View,248
140,11,12,2024-01-26,checkout,Drop-off,NULL
141,57,7,2024-07-01,ProductPage,View,15
142,53,14,2024-05-31,Homepage,Click,10
143,95,17,2025-03-13,Homepage,Click,262
144,95,12,2025-09-17,Homepage,Click,179
145,60,19,2025-10-21,Homepage,Click,62
146,86,1,2025-12-07,Homepage,View,208
147,86,18,2023-04-21,Homepage,View,294
148,15,3,2025-10-22,ProductPage,View,185
149,93,7,2024-05-27,ProductPage,View,18
150,58,16,2024-04-20,Homepage,Click,263
151,79,20,2023-11-04,checkout,Purchase,298
152,85,5,2024-07-02,Checkout,Drop-off,NULL
153,39,19,2025-09-19,homepage,Click,253
154,85,20,2023-08-04,Homepage,View,22
155,82,2,2023-05-12,Homepage,View,195
156,26,3,2024-10-18,checkout,Drop-off,NULL
157,96,20,2025-09-10,Homepage,View,86
158,17,18,2025-11-19,Homepage,Click,97
159,36,7,2024-03-21,ProductPage,Click,160
160,83,12,2025-12-20,Checkout,Purchase,240
161,17,19,2025-01-15,ProductPage,View,50
162,52,10,2024-03-30,ProductPage,View,139
163,49,2,2024-02-20,Homepage,View,101
164,90,9,2025-10-19,Homepage,Click,226
165,93,15,2024-09-18,Homepage,Click,169
166,44,13,2024-09-27,Checkout,Purchase,141
167,8,4,2023-02-18,ProductPage,View,133
168,88,17,2023-04-03,ProductPage,View,274
169,40,19,2023-03-03,homepage,View,255
170,98,13,2025-10-20,ProductPage,View,33
171,29,2,2023-09-09,Homepage,Click,287
172,33,8,2023-10-30,ProductPage,Click,212
173,64,5,2024-08-28,ProductPage,Click,231
174,62,7,2024-12-12,Homepage,Click,299
175,82,16,2025-10-17,Checkout,Purchase,291
176,80,6,2023-05-12,Checkout,Drop-off,NULL
177,5,17,2024-03-06,ProductPage,View,237
178,93,10,2023-02-03,Homepage,View,100
179,99,5,2025-06-02,productpage,View,187
180,54,17,2024-11-26,Homepage,View,110
181,44,20,2025-05-19,Checkout,Drop-off,NULL
182,33,13,2025-04-22,ProductPage,View,248
183,54,16,2024-08-21,ProductPage,View,129
184,7,11,2024-09-30,ProductPage,View,250
185,27,6,2023-12-29,ProductPage,View,165
186,25,2,2024-01-04,ProductPage,View,287
187,51,14,2025-09-22,Checkout,Drop-off,NULL
188,94,2,2025-01-27,Homepage,View,21
189,57,8,2023-08-20,Checkout,Drop-off,NULL
190,90,18,2024-02-14,Homepage,View,257
191,40,10,2023-07-19,homepage,Click,100
192,82,3,2023-03-31,Checkout,Purchase,118
193,88,13,2025-09-22,Homepage,Click,121
194,13,11,2025-04-27,Homepage,View,54
195,8,4,2025-08-12,Homepage,Click,16
196,25,8,2025-08-23,ProductPage,Click,25
197,29,9,2024-10-07,ProductPage,Click,295
198,70,8,2025-12-23,Homepage,View,275
199,43,11,2024-02-02,ProductPage,View,17
200,83,18,2024-02-24,ProductPage,View,78
201,75,10,2025-04-25,Checkout,Drop-off,NULL
202,87,12,2023-04-22,ProductPage,View,145
203,44,11,2024-12-28,Homepage,View,230
204,99,20,2025-09-01,Homepage,Click,21
205,41,19,2023-03-03,homepage,View,282
206,39,5,2023-04-21,ProductPage,View,118
207,46,3,2023-02-02,Homepage,Click,224
208,43,4,2023-12-30,ProductPage,Drop-off,NULL
209,36,12,2025-10-08,ProductPage,View,246
210,63,7,2023-09-07,Checkout,Drop-off,NULL
211,54,9,2024-04-19,ProductPage,View,255
212,99,15,2025-03-03,Homepage,View,269
213,54,3,2025-03-07,ProductPage,View,145
214,33,9,2023-01-10,productpage,View,200
215,71,7,2024-06-08,Checkout,Drop-off,NULL
216,33,6,2023-01-05,Checkout,Drop-off,NULL
217,82,16,2023-08-26,Homepage,View,118
218,19,3,2025-05-04,Homepage,View,155
219,15,10,2024-12-29,Homepage,Click,280
220,43,5,2024-07-11,ProductPage,Click,235
221,52,12,2025-08-19,Homepage,View,213
222,66,15,2024-03-02,Homepage,View,227
223,53,1,2024-03-07,ProductPage,View,184
224,84,10,2025-03-21,Checkout,Drop-off,NULL
225,12,10,2023-11-27,ProductPage,View,163
226,72,20,2023-06-03,Homepage,Click,206
227,7,6,2024-05-01,productpage,Click,171
228,40,6,2023-01-15,Homepage,Click,174
229,16,17,2025-01-30,ProductPage,Drop-off,NULL
230,78,20,2025-11-13,ProductPage,View,176
231,61,12,2025-07-31,Homepage,View,206
232,81,2,2025-06-28,Checkout,Drop-off,NULL
233,92,15,2023-05-11,ProductPage,View,252
234,54,20,2025-02-02,ProductPage,View,191
235,33,7,2024-01-25,ProductPage,View,109
236,10,11,2025-07-27,Homepage,Click,209
237,29,4,2023-06-26,Homepage,Click,260
238,93,14,2025-08-29,Homepage,View,153
239,60,13,2024-04-28,Checkout,Drop-off,NULL
240,15,9,2023-09-16,Homepage,Click,103
241,63,18,2024-06-17,Checkout,Purchase,101
242,76,3,2023-01-31,Homepage,View,23
243,82,9,2024-04-20,Homepage,Click,255
244,3,5,2025-04-24,ProductPage,Click,187
245,69,20,2024-04-06,ProductPage,Click,283
246,90,4,2024-08-10,ProductPage,Click,154
247,26,9,2023-10-26,Homepage,View,97
248,35,20,2024-02-23,Homepage,Click,46
249,58,7,2023-07-21,Homepage,View,133
250,81,13,2025-10-12,ProductPage,View,209
251,13,6,2023-12-10,Homepage,View,102
252,87,19,2023-01-13,Homepage,View,208
253,71,11,2023-01-07,Homepage,Click,279
254,12,12,2025-02-09,Homepage,Click,255
255,95,9,2024-09-19,ProductPage,Click,239
256,32,8,2025-06-04,ProductPage,Click,59
257,30,20,2024-10-07,productpage,Click,163
258,34,5,2023-11-13,Homepage,View,146
259,92,14,2024-10-12,Homepage,Click,16
260,100,17,2025-07-15,Homepage,View,265
261,23,5,2025-10-07,Homepage,View,239
262,52,16,2023-10-07,ProductPage,View,53
263,94,8,2024-03-09,ProductPage,View,185
264,3,2,2024-09-05,ProductPage,View,222
265,99,16,2023-03-09,Homepage,Click,235
266,57,9,2024-02-11,Homepage,View,185
267,6,7,2025-04-17,Checkout,Drop-off,NULL
268,67,8,2025-02-02,Homepage,View,285
269,9,7,2025-11-14,homepage,Click,16
270,66,9,2023-06-22,Checkout,Purchase,296
271,20,4,2025-08-19,Checkout,Drop-off,NULL
272,17,10,2023-08-03,checkout,Drop-off,NULL
273,87,1,2025-03-22,Checkout,Drop-off,NULL
274,95,19,2023-09-28,checkout,Drop-off,NULL
275,88,13,2023-11-05,Checkout,Drop-off,NULL
276,27,19,2023-11-22,Checkout,Drop-off,NULL
277,63,12,2025-10-06,ProductPage,View,300
278,78,8,2024-01-07,ProductPage,View,125
279,97,1,2025-02-25,Checkout,Drop-off,NULL
280,69,15,2023-09-17,Homepage,Click,223
281,10,4,2025-01-06,Homepage,View,236
282,67,12,2024-07-10,Homepage,View,256
283,90,14,2025-01-05,productpage,View,106
284,88,7,2023-09-25,Homepage,Click,278
285,58,4,2024-06-11,Checkout,Purchase,269
286,51,19,2023-08-01,Homepage,View,243
287,100,13,2023-01-12,Checkout,Drop-off,NULL
288,6,1,2023-04-11,Homepage,Click,128
289,90,12,2025-08-15,Checkout,Purchase,148
290,49,20,2023-04-13,Checkout,Drop-off,NULL
291,32,6,2023-11-02,homepage,Click,264
292,39,15,2023-06-04,ProductPage,Click,201
293,18,19,2023-09-08,ProductPage,Click,77
294,41,5,2023-07-31,Homepage,Click,121
295,92,19,2023-03-28,Checkout,Purchase,220
296,50,4,2024-10-14,Checkout,Drop-off,NULL
297,74,4,2024-03-04,homepage,Click,163
298,84,10,2024-12-19,Checkout,Purchase,80
299,7,9,2025-10-27,Homepage,View,195
300,91,16,2023-09-20,Checkout,Drop-off,NULL
301,84,3,2023-01-15,ProductPage,View,148
302,14,10,2023-08-16,Checkout,Drop-off,NULL
303,80,9,2024-05-24,Homepage,View,212
304,91,12,2023-05-06,ProductPage,View,43
305,74,20,2025-09-04,ProductPage,View,41
306,71,2,2023-07-14,Homepage,Click,179
307,85,11,2025-02-16,ProductPage,Click,209
308,80,12,2025-03-12,homepage,Click,178
309,38,11,2024-08-16,ProductPage,Click,176
310,73,18,2023-11-04,ProductPage,Click,216
311,33,19,2024-02-10,ProductPage,Click,67
312,9,11,2023-05-15,Checkout,Purchase,165
313,85,5,2023-10-07,ProductPage,View,140
314,75,11,2024-12-29,Homepage,View,297
315,21,6,2023-11-05,Homepage,Click,74
316,91,19,2025-11-12,homepage,Click,260
317,13,6,2023-03-22,Homepage,View,88
318,13,4,2025-02-01,Homepage,View,221
319,64,10,2025-07-17,Homepage,View,99
320,94,8,2025-11-29,Checkout,Drop-off,NULL
321,10,3,2024-11-24,Checkout,Drop-off,NULL
322,22,18,2024-05-25,ProductPage,View,18
323,44,19,2025-04-08,Homepage,View,254
324,77,9,2025-03-06,ProductPage,View,275
325,47,7,2023-01-31,Checkout,Drop-off,NULL
326,79,19,2024-11-30,Homepage,View,69
327,11,14,2024-04-29,Homepage,View,204
328,46,16,2024-12-22,ProductPage,View,52
329,88,15,2023-02-24,Homepage,Click,221
330,3,14,2024-04-11,Checkout,Purchase,249
331,2,8,2025-05-07,productpage,View,128
332,68,6,2025-02-26,Homepage,View,111
333,42,7,2024-05-15,Homepage,Click,217
334,43,18,2024-09-24,Homepage,Click,160
335,93,16,2024-09-22,ProductPage,Click,248
336,74,11,2025-03-08,Homepage,Click,237
337,71,1,2024-11-19,Homepage,Click,94
338,51,3,2024-06-18,ProductPage,Click,288
339,37,6,2024-11-07,ProductPage,Drop-off,NULL
340,63,20,2025-05-22,ProductPage,View,98
341,79,11,2025-02-12,Homepage,View,16
342,23,17,2024-06-19,ProductPage,View,109
343,50,12,2025-07-07,Checkout,Drop-off,NULL
344,77,1,2025-04-05,Homepage,View,14
345,27,6,2024-12-22,Checkout,Drop-off,NULL
346,68,11,2024-06-12,Homepage,Click,284
347,76,16,2024-06-23,ProductPage,Click,117
348,10,5,2025-01-27,Homepage,View,144
349,89,4,2023-12-15,ProductPage,View,193
350,99,18,2025-02-18,ProductPage,View,103
351,65,16,2023-06-19,Homepage,View,18
352,98,7,2025-09-01,ProductPage,View,165
353,19,10,2024-07-13,Homepage,View,60
354,34,3,2023-02-21,Homepage,Click,110
355,97,4,2025-02-18,Homepage,Click,22
356,65,18,2024-01-26,Homepage,View,234
357,11,13,2025-04-02,Homepage,View,174
358,62,11,2023-08-09,Homepage,Click,191
359,2,17,2024-03-16,Homepage,View,141
360,63,18,2023-08-28,Homepage,Click,270
361,96,9,2025-10-30,ProductPage,Drop-off,NULL
362,82,10,2023-05-29,Homepage,View,300
363,80,10,2023-04-07,ProductPage,View,123
364,48,16,2025-09-24,Homepage,View,30
365,6,5,2023-06-04,Checkout,Drop-off,NULL
366,37,2,2025-09-08,Checkout,Drop-off,NULL
367,61,18,2023-03-04,Homepage,View,272
368,26,10,2025-04-28,ProductPage,View,217
369,89,4,2023-03-22,ProductPage,View,192
370,15,15,2025-07-25,ProductPage,View,173
371,71,11,2023-09-28,ProductPage,View,227
372,76,16,2023-01-15,homepage,View,231
373,51,19,2024-04-09,Homepage,Click,219
374,67,13,2023-08-29,ProductPage,Click,114
375,23,2,2025-03-08,Checkout,Purchase,125
376,40,1,2025-05-23,productpage,View,216
377,86,10,2025-06-25,ProductPage,View,99
378,60,1,2023-11-02,ProductPage,View,124
379,92,15,2024-11-25,Checkout,Drop-off,NULL
380,1,11,2023-05-29,Checkout,Drop-off,NULL
381,2,3,2024-03-23,ProductPage,View,187
382,92,19,2025-06-05,ProductPage,View,260
383,55,6,2023-01-03,productpage,View,72
384,2,12,2024-09-24,Checkout,Drop-off,NULL
385,90,2,2025-04-15,ProductPage,View,189
386,37,6,2023-07-31,ProductPage,View,168
387,22,4,2024-12-19,Checkout,Drop-off,NULL
388,40,11,2024-12-02,Homepage,View,11
389,63,4,2023-04-14,ProductPage,View,276
390,74,7,2023-07-16,Checkout,Drop-off,NULL
391,74,13,2025-04-20,Checkout,Drop-off,NULL
392,50,13,2024-03-16,ProductPage,View,50
393,14,5,2024-05-26,ProductPage,View,120
394,39,5,2025-04-16,ProductPage,View,143
395,73,10,2025-08-19,Homepage,View,59
396,62,9,2023-03-14,ProductPage,View,238
397,54,15,2023-03-17,Homepage,Click,239
398,86,17,2025-03-04,Homepage,View,290
399,26,2,2025-08-03,ProductPage,View,108
400,28,12,2024-05-30,Homepage,View,45
401,86,20,2025-04-04,ProductPage,View,203
402,42,4,2024-11-24,Homepage,View,278
403,47,2,2023-03-21,ProductPage,View,112
404,30,13,2023-04-22,Homepage,View,112
405,97,7,2024-08-21,ProductPage,View,40
406,27,7,2025-05-09,ProductPage,View,107
407,79,6,2024-02-26,Homepage,Click,35
408,36,15,2024-01-31,Homepage,Click,182
409,90,17,2025-06-28,Homepage,Click,44
410,71,12,2023-09-13,Homepage,View,38
411,74,19,2023-02-08,Homepage,Click,231
412,3,20,2025-08-08,ProductPage,Click,74
413,29,5,2023-07-09,ProductPage,Click,235
414,24,15,2025-05-06,ProductPage,Drop-off,NULL
415,56,2,2023-10-26,Homepage,View,35
416,34,6,2025-09-24,ProductPage,View,151
417,50,12,2024-02-04,Homepage,View,205
418,97,8,2024-05-04,Checkout,Drop-off,NULL
419,52,7,2023-11-06,Checkout,Drop-off,NULL
420,25,16,2023-09-04,Homepage,Click,204
421,25,2,2023-10-22,ProductPage,Click,269
422,87,6,2024-10-04,Homepage,View,263
423,26,15,2023-06-12,Homepage,Click,121
424,94,10,2023-08-14,Checkout,Purchase,164
425,60,16,2024-11-21,Homepage,Click,287
426,60,20,2025-02-26,ProductPage,Click,158
427,98,2,2023-02-08,Homepage,View,262
428,48,12,2025-12-04,Homepage,View,242
429,100,15,2023-04-02,homepage,Click,97
430,7,20,2025-01-19,ProductPage,Click,63
431,66,12,2025-08-30,ProductPage,Click,229
432,73,3,2023-08-22,ProductPage,Click,27
433,20,18,2025-11-27,ProductPage,Click,205
434,46,4,2023-09-29,Homepage,View,94
435,45,8,2024-12-20,ProductPage,View,134
436,91,20,2024-05-15,ProductPage,View,206
437,43,14,2025-06-08,Homepage,Click,164
438,73,10,2024-11-10,Homepage,Click,45
439,87,12,2024-02-29,Homepage,View,252
440,2,7,2025-10-12,ProductPage,View,187
441,3,5,2023-05-23,ProductPage,View,51
442,74,13,2023-10-25,Homepage,View,164
443,98,5,2023-09-04,Checkout,Drop-off,NULL
444,76,18,2025-01-27,Homepage,Click,220
445,4,3,2025-05-09,ProductPage,Click,235
446,92,13,2024-04-04,Homepage,Click,108
447,64,11,2024-01-15,Checkout,Purchase,65
448,27,4,2023-09-30,ProductPage,View,279
449,15,8,2025-04-10,ProductPage,View,83
450,68,16,2023-11-02,ProductPage,View,20
451,17,14,2025-11-27,Homepage,View,142
452,86,4,2024-10-07,Checkout,Drop-off,NULL
453,49,17,2023-02-13,Homepage,View,188
454,93,3,2023-06-01,Homepage,View,268
455,79,10,2025-04-13,ProductPage,View,126
456,93,20,2023-09-09,Checkout,Drop-off,NULL
457,33,19,2023-09-29,Homepage,Click,71
458,94,2,2025-01-20,Checkout,Purchase,192
459,58,7,2024-10-12,Homepage,View,159
460,45,3,2023-02-17,Homepage,Click,96
461,19,5,2024-09-05,Checkout,Purchase,176
462,59,6,2025-04-14,ProductPage,View,199
463,32,17,2023-02-03,ProductPage,View,185
464,32,1,2023-10-10,ProductPage,View,153
465,27,1,2025-08-26,ProductPage,View,228
466,35,20,2025-07-29,ProductPage,View,200
467,32,3,2025-10-14,ProductPage,View,37
468,3,19,2025-06-25,Homepage,View,215
469,18,16,2025-11-27,ProductPage,View,33
470,76,16,2024-01-23,Homepage,Click,28
471,14,16,2024-02-01,ProductPage,Click,10
472,28,14,2025-03-09,ProductPage,Click,94
473,76,2,2025-03-21,ProductPage,Click,168
474,59,3,2023-03-24,ProductPage,Click,72
475,91,6,2025-02-13,Homepage,Click,90
476,80,4,2024-08-22,Homepage,Click,41
477,94,11,2025-04-10,ProductPage,Click,56
478,80,7,2025-08-27,productpage,Click,225
479,63,17,2023-01-17,ProductPage,Click,296
480,30,12,2025-10-23,Homepage,Click,29
481,43,7,2025-06-17,ProductPage,Click,261
482,72,4,2025-12-14,ProductPage,Click,126
483,86,17,2024-10-02,Homepage,View,153
484,98,7,2023-08-30,Homepage,Click,222
485,100,4,2023-03-05,ProductPage,Click,101
486,91,16,2023-06-17,Homepage,View,226
487,35,19,2023-05-07,Checkout,Drop-off,NULL
488,72,16,2023-08-21,Checkout,Drop-off,NULL
489,57,16,2024-03-23,Homepage,View,266
490,53,13,2025-03-28,ProductPage,View,108
491,77,19,2023-05-14,Checkout,Drop-off,NULL
492,69,20,2025-05-16,productpage,View,186
493,32,7,2024-04-23,Checkout,Drop-off,NULL
494,29,6,2024-10-27,Checkout,Drop-off,NULL
495,43,2,2023-02-04,Checkout,Drop-off,NULL
496,76,20,2024-12-08,homepage,Click,66
497,55,15,2024-05-18,Homepage,View,83
498,33,20,2024-09-21,Checkout,Drop-off,NULL
499,95,18,2024-01-24,ProductPage,View,112
500,29,8,2025-07-31,Homepage,Click,277
501,57,17,2023-10-19,Homepage,View,14
502,10,3,2023-08-19,ProductPage,View,134
503,35,9,2023-02-18,homepage,Click,239
504,4,13,2025-02-08,Homepage,Click,281
505,15,11,2023-02-16,Homepage,Click,167
506,100,17,2023-08-20,Homepage,View,69
507,90,17,2025-01-02,ProductPage,View,259
508,48,15,2024-09-13,ProductPage,View,64
509,42,16,2025-11-27,ProductPage,View,53
510,14,14,2023-12-21,Checkout,Drop-off,NULL
511,65,3,2025-05-23,ProductPage,View,40
512,67,11,2025-11-04,Homepage,Click,229
513,91,17,2024-04-18,ProductPage,Click,195
514,24,3,2024-06-18,productpage,Click,38
515,49,3,2025-05-23,Homepage,View,231
516,14,15,2023-09-26,Checkout,Drop-off,NULL
517,55,10,2025-01-07,Homepage,View,19
518,89,12,2023-07-09,Homepage,View,56
519,99,1,2024-03-14,ProductPage,View,206
520,42,16,2025-07-13,Checkout,Drop-off,NULL
521,12,13,2024-03-25,Checkout,Drop-off,NULL
522,78,19,2023-06-15,Homepage,View,101
523,85,2,2025-10-08,Homepage,Click,240
524,34,13,2023-04-12,Homepage,View,65
525,34,10,2023-07-24,ProductPage,View,61
526,87,9,2025-05-17,Checkout,Drop-off,NULL
527,66,14,2025-06-20,ProductPage,View,33
528,38,6,2024-11-19,ProductPage,View,156
529,83,14,2025-09-20,ProductPage,View,173
530,76,8,2023-03-06,Homepage,View,159
531,20,3,2025-05-22,Homepage,Click,264
532,98,12,2023-06-11,ProductPage,Click,278
533,33,11,2023-01-29,Checkout,Purchase,84
534,59,7,2025-01-16,Homepage,Click,224
535,4,7,2025-03-31,Homepage,View,135
536,55,17,2025-06-30,ProductPage,View,272
537,52,6,2025-04-01,productpage,View,291
538,25,9,2024-04-11,Homepage,View,232
539,18,1,2023-02-27,productpage,View,139
540,28,6,2024-05-27,Homepage,Click,122
541,70,1,2023-11-12,Checkout,Purchase,194
542,43,2,2023-05-02,Homepage,View,16
543,7,7,2024-06-26,Checkout,Drop-off,NULL
544,58,3,2024-04-20,ProductPage,View,89
545,81,19,2024-02-24,Homepage,View,248
546,77,2,2025-03-21,Homepage,View,257
547,15,7,2023-05-24,ProductPage,View,13
548,84,17,2023-04-09,Homepage,View,254
549,50,4,2023-08-18,Homepage,View,110
550,77,14,2025-06-14,Checkout,Drop-off,NULL
551,94,11,2023-06-22,Homepage,Click,115
552,93,7,2023-10-27,Homepage,Click,146
553,39,16,2024-05-18,Homepage,Click,119
554,95,7,2023-03-17,Homepage,View,266
555,53,5,2023-09-14,Homepage,View,247
556,97,12,2024-08-15,ProductPage,View,111
557,8,12,2025-07-16,Checkout,Drop-off,NULL
558,42,17,2024-03-31,Checkout,Drop-off,NULL
559,88,7,2025-12-11,Checkout,Drop-off,NULL
560,53,8,2024-12-05,ProductPage,View,129
561,1,20,2025-07-04,Homepage,Click,225
562,17,20,2024-02-04,Homepage,Click,46
563,65,20,2023-08-18,ProductPage,Click,283
564,19,16,2025-06-02,ProductPage,Click,252
565,26,2,2023-11-16,Homepage,Click,64
566,25,12,2025-09-27,Checkout,Purchase,188
567,97,10,2025-09-02,homepage,View,105
568,95,3,2023-07-25,Homepage,View,155
569,4,9,2025-05-09,ProductPage,View,54
570,29,5,2025-11-25,ProductPage,View,193
571,10,15,2025-01-05,Homepage,View,48
572,36,20,2024-03-07,Homepage,View,26
573,50,13,2024-05-19,Checkout,Drop-off,NULL
574,69,6,2023-10-05,Homepage,View,56
575,98,20,2023-01-30,Homepage,Click,72
576,97,17,2025-08-13,ProductPage,Click,68
577,1,1,2025-12-17,Homepage,Click,115
578,84,18,2025-04-17,Checkout,Purchase,109
579,76,6,2024-02-18,homepage,View,55
580,90,16,2025-01-04,Homepage,Click,237
581,99,9,2023-02-11,ProductPage,Click,48
582,59,2,2024-06-06,ProductPage,Click,61
583,73,15,2023-10-24,Homepage,View,96
584,75,7,2023-03-19,Homepage,View,167
585,2,9,2023-01-12,Homepage,View,250
586,68,5,2024-08-06,Homepage,View,214
587,73,20,2025-01-19,Homepage,Click,210
588,49,4,2025-09-28,Checkout,Purchase,178
589,93,11,2024-11-11,Homepage,View,190
590,34,10,2024-05-25,Homepage,View,124
591,52,6,2023-06-29,Homepage,Click,171
592,53,14,2023-03-20,ProductPage,Click,250
593,68,11,2024-01-20,Checkout,Purchase,201
594,55,1,2025-05-27,Homepage,Click,88
